C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
744 |* tet Cyg                          |PM*|19 36 26.5330717650 +50 13 15.965003998|4.83     |4.86     |4.48     |4.13     |3.92     |F3+V                 | 355 |   1
745 |M 10                               |GlC|16 57 09.05 -04 06 01.1                |     ~   |     ~   |4.98     |     ~   |     ~   |~                    | 834 |   0
746 |* kap Tuc                          |PM*|01 15 46.0891031031 -68 52 33.401317053|     ~   |5.39     |4.95     |4.82     |     ~   |F6V                  | 135 |   0
747 |* tet02 Ser                        |PM*|18 56 14.6410220472 +04 12 07.659433620|     ~   |5.18     |4.98     |     ~   |     ~   |A5Vn                 |  77 |   0
748 |* tet Dra                          |SB*|16 01 53.3449795946 +58 33 54.901935955|4.630    |4.520    |4.000    |3.56     |3.31     |F9V                  | 301 |   0
749 |* gam Gru                          |PM*|21 53 55.7163006264 -37 21 53.539981264|2.52     |2.89     |3.01     |3.06     |3.12     |B8IV-Vs              | 142 |   0
750 |* pi. Sco                          |SB*|15 58 51.1132378 -26 06 50.788602      |1.82     |2.71     |2.91     |3.00     |3.20     |B1V+B2:V:            | 409 |   0
751 |* 35 Com                           |** |12 53 17.74703 +21 14 41.8092          |     ~   |5.80     |4.91     |     ~   |     ~   |G7III+F:             | 181 |   0
752 |* bet Aps                          |PM*|16 43 04.6585772236 -77 31 02.759334193|     ~   |5.30     |4.24     |     ~   |     ~   |K0III                |  53 |   0
753 |* e Eri                            |PM*|03 19 55.6509122226 -43 04 11.215188426|5.20     |4.98     |4.27     |3.65     |3.25     |G6V                  | 476 |   1
754 |* 46 LMi                           |PM*|10 53 18.6891667765 +34 12 53.611679098|5.79     |4.87     |3.83     |3.00     |2.46     |K0+III-IV            | 242 |   0
755 |* mu. Lep                          |a2*|05 12 55.9029641016 -16 12 19.668599100|2.78     |3.18     |3.29     |3.30     |3.42     |B9IV:HgMn            | 292 |   1
756 |* b Cen                            |** |14 41 57.5905450998 -37 47 36.580200460|3.14     |3.83     |4.00     |4.11     |4.26     |B2.5V                | 154 |   0
757 |HD 163145                          |*  |17 56 47.4169480680 -44 20 31.986560220|     ~   |6.041    |4.849    |     ~   |     ~   |K2III                |  30 |   0
758 |* bet Ari                          |SB*|01 54 38.41099 +20 48 28.9133          |2.88     |2.78     |2.65     |2.51     |2.43     |kA4hA5mA5Va          | 421 |   1
759 |HD 163376                          |V* |17 57 47.8025082499 -41 42 58.655766790|     ~   |6.503    |4.863    |     ~   |     ~   |M0III                |  52 |   0
760 |* eta Cas                          |PM*|00 49 06.2945942922 +57 48 54.638239716|4.04     |4.02     |3.44     |2.94     |2.58     |F9V                  | 656 |   0
761 |* 32 Eri A                         |*  |03 54 17.5018067928 -02 57 17.039726676|     ~   |5.59     |4.70     |     ~   |     ~   |G6.5III              |  63 |   0
762 |* 27 Tau                           |SB*|03 49 09.7430578114 +24 03 12.301679809|3.18     |3.54     |3.63     |3.62     |3.68     |B8III                | 377 |   0
763 |* tet CMa                          |PM*|06 54 11.3988612864 -12 02 19.061163780|7.20     |5.51     |4.08     |2.95     |2.17     |K3/4III              | 228 |   0
764 |* 47 Tau A                         |*  |04 13 56.3854450608 +09 15 49.767350436|     ~   |5.84     |4.95     |     ~   |     ~   |G3IIIFe-0.5          |   2 |   0
765 |* alf UMa                          |** |11 03 43.67152 +61 45 03.7249          |3.78     |2.86     |1.79     |0.98     |0.40     |G9III+A7.5           | 444 |   0
766 |* nu. Per                          |*  |03 45 11.6327358410 +42 34 42.709540671|4.50     |4.22     |3.80     |3.40     |3.13     |F4II                 | 133 |   0
767 |* gam01 Sgr                        |cC*|18 05 01.2264355704 -29 34 48.322222356|5.99     |5.47     |4.69     |     ~   |3.869    |G0Ib/II              | 361 |   0
768 |* nu. Oph                          |PM*|17 59 01.5922136612 -09 46 25.080976810|5.20     |4.33     |3.34     |2.64     |2.16     |G9IIIa               | 221 |   1
769 |* q Vel                            |PM*|10 14 44.1556880397 -42 07 18.988830783|3.98     |3.90     |3.85     |3.83     |3.81     |A2Va                 | 142 |   0
770 |* kap01 Tau                        |PM*|04 25 22.1644730361 +22 17 37.935906104|     ~   |4.366    |4.201    |     ~   |     ~   |A7IV-V               | 194 |   0
771 |* 37 Tau                           |PM*|04 04 41.7128811713 +22 04 54.946823724|6.41     |5.44     |4.37     |3.58     |3.05     |K0III-IIIb           | 190 |   0
772 |* pi. Dra                          |*  |19 20 40.0914694319 +65 42 52.314729157|4.67     |4.61     |4.59     |4.55     |4.58     |A0III                | 101 |   0
773 |* gam Cnc                          |PM*|08 43 17.1471415051 +21 28 06.595679965|     ~   |4.670    |4.652    |     ~   |4.64     |A1Va                 | 118 |   0
774 |* bet Dra                          |*  |17 30 25.9616959 +52 18 04.999351      |4.43     |3.79     |2.81     |2.12     |1.64     |G2Ib-IIa             | 423 |   0
775 |* kap Col                          |PM*|06 16 33.1354849246 -35 08 25.854360482|6.20     |5.37     |4.37     |3.64     |3.13     |G9IIIbCN0.5          |  68 |   0
776 |* del Cep                          |cC*|22 29 10.2626640314 +58 24 54.697613650|4.71     |4.35     |3.75     |     ~   |3.219    |F5Iab:+B7-8          | 750 |   0
777 |* k Lup                            |*  |15 25 20.2130625384 -38 44 00.995041680|     ~   |4.60     |4.60     |     ~   |     ~   |A0V                  |  43 |   0
778 |HD 65810                           |*  |07 59 52.0475616144 -18 23 57.180883308|4.77     |4.69     |4.61     |4.46     |4.40     |A1V                  | 120 |   0
779 |* 42 Dra                           |PM*|18 25 59.1369601368 +65 33 48.531343788|     ~   |6.005    |4.823    |     ~   |     ~   |K1.5IIIFe-1          | 181 |   1
780 |* del Vol                          |*  |07 16 49.8219490140 -67 57 25.749643138|5.23     |4.78     |3.99     |3.33     |2.95     |F8Ib/II              |  93 |   0
781 |* gam CMa                          |*  |07 03 45.4934693195 -15 37 59.833212992|3.52     |4.00     |4.12     |4.13     |4.23     |B8II                 | 188 |   0
782 |* sig Leo                          |PM*|11 21 08.1937792083 +06 01 45.558012784|     ~   |3.984    |4.040    |     ~   |     ~   |B9.5Vs               | 144 |   0
783 |HD 21291                           |s*b|03 29 04.1328896160 +59 56 25.201164588|4.40     |4.63     |4.22     |3.84     |3.46     |B9Ia                 | 296 |   0
784 |HD 21278                           |SB*|03 28 03.0707602272 +49 03 46.325803896|     ~   |4.89     |4.97     |     ~   |     ~   |B5V                  | 215 |   0
785 |* bet Cas                          |dS*|00 09 10.68518 +59 08 59.2120          |2.73     |2.61     |2.27     |1.97     |1.77     |F2III                | 540 |   0
786 |* rho Gru                          |PM*|22 43 29.9762552808 -41 24 51.643891310|     ~   |5.854    |4.835    |     ~   |     ~   |K0III                |  79 |   0
787 |* eps Cen                          |bC*|13 39 53.25774 -53 27 59.0081          |1.16     |2.08     |2.30     |2.45     |2.70     |B1III                | 256 |   0
788 |* 93 Her                           |*  |18 00 03.4165173504 +16 45 03.304594368|7.15     |5.93     |4.67     |3.80     |3.21     |K0.5IIb              | 144 |   0
789 |* lam Psc                          |PM*|23 42 02.8053593984 +01 46 48.151697051|4.79     |4.72     |4.51     |4.33     |4.23     |A7V                  | 161 |   0
790 |* p02 Leo                          |V* |11 01 49.6762854745 -02 29 04.525646926|8.29     |6.37     |4.75     |3.42     |2.46     |M0III                | 107 |   0
791 |* 4 Dra                            |SB*|12 30 06.6619965864 +69 12 03.974236920|8.38     |6.57     |4.95     |     ~   |     ~   |M3+IIIa              | 138 |   0
792 |* 16 Pup                           |*  |08 09 01.6363885089 -19 14 42.122308587|3.65     |4.239    |4.393    |     ~   |     ~   |B5V                  | 101 |   0
793 |* ome Cas                          |SB*|01 56 00.0283006680 +68 41 06.863913852|     ~   |4.874    |4.968    |     ~   |     ~   |B5III                |  95 |   0
794 |* gam Aqr                          |PM*|22 21 39.3715681296 -01 23 14.457098796|3.65     |3.791    |3.834    |     ~   |     ~   |A0V                  | 177 |   0
795 |* tet And                          |** |00 17 05.5023632446 +38 40 53.888625622|4.72     |4.67     |4.61     |4.53     |4.52     |A2V                  | 182 |   0
796 |* chi Eri                          |PM*|01 55 57.4597664541 -51 36 31.959325912|     ~   |4.55     |3.71     |     ~   |     ~   |G8IIIbCNIV           | 146 |   0
797 |* phi And A                        |*  |01 09 30.122064 +47 14 30.46772        |     ~   |4.54     |4.294    |     ~   |     ~   |~                    |   7 |   0
798 |HD 10550                           |V* |01 42 43.5115527552 -03 41 24.718341768|     ~   |6.366    |4.982    |     ~   |     ~   |K2/3IIICNII          |  65 |   0
799 |* gam Mon                          |*  |06 14 51.3332136229 -06 16 29.196403308|6.69     |5.27     |3.96     |2.99     |2.36     |K1III:               | 112 |   0
800 |* ome Dra                          |SB*|17 36 57.0943076755 +68 45 28.681533966|     ~   |5.20     |4.77     |4.5      |     ~   |F4V                  | 175 |   0
801 |* phi Her                          |a2*|16 08 46.1762180496 +44 56 05.661355344|3.92     |4.20     |4.27     |4.27     |4.36     |B9VspHgMn            | 300 |   1
802 |* 31 Lyn                           |LP*|08 22 50.1094369374 +43 11 17.270175202|7.71     |5.80     |4.25     |3.05     |2.17     |K4+III               | 165 |   0
803 |* tau09 Eri                        |a2*|03 59 55.4837679360 -24 00 58.377195468|4.11     |4.52     |4.66     |4.64     |4.77     |ApSi                 | 170 |   0
804 |* tet Oct                          |PM*|00 01 35.6994508763 -77 03 56.611267370|     ~   |6.049    |4.783    |     ~   |     ~   |K3III                |  47 |   0
805 |* Q Sco                            |PM*|17 36 32.8551435432 -38 38 06.891848556|     ~   |5.357    |4.267    |     ~   |     ~   |G8/K0III/IV          |  44 |   0
806 |* omi Sgr                          |PM*|19 04 40.9820400284 -21 44 29.385451232|5.63     |4.77     |3.77     |3.05     |2.52     |G9IIIb               | 109 |   0
807 |* lam Hya                          |SB*|10 10 35.2885811545 -12 21 14.858923765|5.53     |4.61     |3.61     |2.84     |2.36     |K0IIIbCN0.5          | 210 |   0
808 |* kap Cap                          |PM*|21 42 39.5080810109 -18 51 58.755183216|     ~   |5.593    |4.726    |     ~   |     ~   |G8III                |  86 |   0
809 |* ome CMa                          |Be*|07 14 48.6540133346 -26 46 21.603204215|2.90     |3.64     |3.82     |3.80     |3.90     |B2.5Ve               | 365 |   0
810 |* gam02 Vol                        |PM*|07 08 44.8656955896 -70 29 56.149447560|     ~   |4.774    |3.746    |     ~   |     ~   |K0III                |  79 |   0
811 |* eta Dra                          |PM*|16 23 59.4863284800 +61 30 51.155139060|4.35     |3.65     |2.74     |2.12     |1.66     |G8-IIIab             | 309 |   0
812 |* nu. Oct                          |SB*|21 41 28.5420355132 -77 23 24.031541832|     ~   |4.745    |3.728    |5.46     |     ~   |K1III                | 126 |   1
813 |* tet Her                          |V* |17 56 15.1809747319 +37 15 01.932000161|6.70     |5.23     |3.88     |2.98     |2.38     |K1IIaCN2             | 222 |   0
814 |* del Lib                          |SB*|15 00 58.3483018872 -08 31 08.210408772|4.82     |4.93     |4.93     |4.85     |4.84     |A0V                  | 299 |   0
815 |* 41 Ari                           |** |02 49 59.0332406 +27 15 37.826018      |     ~   |3.498    |3.594    |     ~   |     ~   |B8Vn                 | 167 |   0
816 |CD-43 12272                        |** |18 06 49.89312 -43 25 30.7964          |     ~   |5.17     |4.95     |     ~   |     ~   |A6V+A7V              |  53 |   0
817 |* 11 Lib                           |PM*|14 51 01.0720205236 -02 17 56.941059804|6.64     |5.92     |4.94     |     ~   |     ~   |K0III/IV             | 134 |   0
818 |* ups01 Cas                        |PM*|00 55 00.1557027792 +58 58 21.717145956|     ~   |6.042    |4.820    |     ~   |     ~   |K2III                | 107 |   0
819 |* phi02 Ori                        |PM*|05 36 54.3885728561 +09 17 26.416510827|5.70     |5.04     |4.09     |3.33     |2.78     |G9.5IIIbFe-2.5       | 368 |   0
820 |* pi. Lup B                        |*  |15 05 07.237068 -47 03 03.92183        |     ~   |4.49     |4.62     |     ~   |     ~   |B5IV                 |  35 |   0
821 |* tet Psc                          |PM*|23 27 58.0946643849 +06 22 44.372303191|6.41     |5.38     |4.30     |3.50     |2.97     |K0.5III              | 182 |   0
822 |* zet02 Sco                        |PM*|16 54 35.0050319669 -42 21 40.737010682|     ~   |4.99     |3.62     |     ~   |     ~   |K3III                |  81 |   0
823 |* eps Cas                          |Be*|01 54 23.7340861680 +63 40 12.360238788|2.61     |3.22     |3.37     |3.40     |3.52     |B3Vp_sh              | 203 |   0
824 |* mu. Aql                          |PM*|19 34 05.3529921054 +07 22 44.184329526|6.87     |5.63     |4.45     |3.55     |2.94     |K3-IIIbFe0.5         | 270 |   1
825 |* lam Cen                          |*  |11 35 46.8780907704 -63 01 11.405976996|2.96     |3.10     |3.14     |3.10     |3.11     |B9III                | 136 |   0
826 |* 1 Pup                            |V* |07 43 32.3866853568 -28 24 39.188693988|8.16     |6.22     |4.59     |3.29     |2.32     |K5III                | 109 |   0
827 |* ksi Tel                          |V* |20 07 23.1574676136 -52 52 50.854022940|8.40     |6.56     |4.94     |     ~   |     ~   |K5III                |  59 |   0
828 |* l Eri                            |** |04 38 10.8236170649 -14 18 14.500428166|5.99     |4.96     |3.87     |3.03     |2.47     |K2-IIIb              | 140 |   0
829 |* e Leo                            |*  |11 30 18.8933524920 -03 00 12.598924644|8.14     |6.31     |4.77     |     ~   |     ~   |K3+IIIFe-0.5         | 150 |   0
830 |* pi. Aqr                          |Be*|22 25 16.6230017410 +01 22 38.634449478|3.64     |4.60     |4.64     |4.48     |4.48     |B1III-IVe            | 427 |   0
831 |* 75 Tau                           |** |04 28 26.3699079120 +16 21 34.829804916|     ~   |6.104    |4.969    |     ~   |     ~   |K1IIIb               | 112 |   0
832 |* zet Aps                          |*  |17 21 59.4776962248 -67 46 14.408357340|     ~   |5.99     |4.78     |     ~   |     ~   |K2-III               |  49 |   0
833 |* 6 Cet                            |PM*|00 11 15.8580395472 -15 28 04.720468404|5.35     |5.38     |4.89     |     ~   |     ~   |F8VFe-0.8CH-0.5      | 323 |   0
834 |* del Crv                          |PM*|12 29 51.8551642 -16 30 55.552542      |2.80     |2.89     |2.94     |2.99     |3.03     |A0IV(n)kB9           | 213 |   0
835 |* alf Ind                          |PM*|20 37 34.0321723878 -47 17 29.405217299|4.90     |4.11     |3.11     |     ~   |     ~   |K0III-IV             | 138 |   0
836 |* f02 Cyg                          |*  |21 06 36.0934336570 +47 38 54.252204111|     ~   |6.079    |4.514    |     ~   |     ~   |K4Ib-IIa             | 115 |   0
837 |* eta Psc                          |** |01 31 29.0081880156 +15 20 44.994632991|5.320    |4.600    |3.620    |2.90     |2.40     |G7IIIa               | 253 |   0
838 |* F Hya                            |*  |08 43 40.3744846779 -07 14 01.422508229|     ~   |5.441    |4.625    |     ~   |     ~   |G1Ib                 | 170 |   0
839 |* K Car                            |*  |10 30 20.1277680782 -71 59 34.057907711|     ~   |4.751    |4.710    |     ~   |     ~   |A1V                  |  88 |   0
840 |* mu. Aur                          |** |05 13 25.7220235464 +38 29 04.195617900|     ~   |5.017    |4.821    |     ~   |     ~   |A4m                  | 104 |   0
841 |* E Hya                            |PM*|14 50 17.3082918816 -27 57 37.300431780|7.28     |5.81     |4.41     |3.33     |2.57     |K2.5IIIbFe-1:        |  90 |   0
842 |* omi02 CMa                        |s*b|07 03 01.4713413613 -23 49 59.858307121|2.14     |2.94     |3.02     |3.01     |3.10     |B3Ia                 | 329 |   0
843 |* 35 Peg                           |PM*|22 27 51.5231162634 +04 41 44.404460456|6.74     |5.86     |4.80     |4.02     |3.46     |K1-III-IV            | 274 |   0
844 |* chi Aur                          |s*b|05 32 43.6743764213 +32 11 31.280527096|4.68     |5.15     |4.79     |4.42     |4.15     |B4Ia                 | 214 |   0
845 |* 2 Sco A                          |*  |15 53 36.7184541744 -25 19 37.699413420|     ~   |4.60     |4.71     |     ~   |     ~   |~                    |   5 |   0
846 |* psi10 Aur                        |V* |06 57 37.1072168053 +45 05 38.738111994|     ~   |4.919    |4.893    |     ~   |     ~   |A2Vn                 |  84 |   0
847 |* nu.01 Sgr                        |*  |18 54 10.1780830272 -22 44 41.422617132|     ~   |6.251    |4.845    |     ~   |     ~   |K1II                 |  99 |   0
848 |* A Pup                            |Ce*|07 08 51.0681448893 -39 39 20.359080790|3.96     |4.65     |4.83     |4.90     |5.05     |B3IV/V               |  71 |   0
849 |* 140 Pup                          |*  |07 40 23.2104428256 -15 15 50.110710444|     ~   |6.503    |4.951    |     ~   |     ~   |K3III                |  60 |   0
850 |* ksi Boo A                        |PM*|14 51 23.3884659504 +19 06 01.619801424|     ~   |5.40     |4.675    |     ~   |     ~   |G7Ve                 | 547 |   0
851 |* lam Ori                          |** |05 35 08.27761 +09 56 02.9611          |2.45     |3.48     |3.66     |3.72     |3.89     |O8IIIf+B0.5V         | 319 |   0
852 |* rho Hya                          |*  |08 48 25.9706843645 +05 50 16.124966022|     ~   |4.309    |4.337    |     ~   |     ~   |A0Vn                 |  62 |   0
853 |* del For                          |Pu*|03 42 14.9025400320 -31 56 18.104191008|4.24     |4.814    |4.973    |     ~   |     ~   |B5III                |  71 |   0
854 |* zet Sct                          |SB*|18 23 39.5786582280 -08 56 04.151632668|     ~   |5.619    |4.664    |     ~   |     ~   |G9-IIIbFe-0.5        |  83 |   0
855 |* tet Cep                          |SB*|20 29 34.9052664336 +62 59 38.797205460|4.58     |4.42     |4.22     |4.05     |3.96     |A7III                | 159 |   0
856 |* 20 Mon                           |PM*|07 10 13.6815026472 -04 14 13.585055244|6.73     |5.95     |4.92     |4.13     |3.61     |K0III                | 157 |   0
857 |* ksi02 Cen                        |SB*|13 06 54.6394033029 -49 54 22.487112422|3.29     |4.08     |4.27     |     ~   |     ~   |B3V                  | 146 |   0
858 |* h02 Pup                          |SB*|08 14 02.9293688256 -40 20 52.321700292|6.70     |5.61     |4.44     |3.60     |2.96     |K1II/III             |  49 |   0
859 |* 52 Cyg                           |*  |20 45 39.7531133582 +30 43 10.972342474|6.16     |5.29     |4.23     |3.46     |2.93     |K0IIIa               | 127 |   0
860 |* tau Ori                          |*  |05 17 36.3903358088 -06 50 39.866785352|3.01     |3.47     |3.59     |     ~   |     ~   |B6III                | 196 |   0
861 |* mu.01 Gru                        |** |22 15 36.9188246184 -41 20 48.345473292|     ~   |5.595    |4.798    |     ~   |     ~   |G8III+G              |  40 |   0
862 |* 17 Per                           |PM*|02 51 30.8373459264 +35 03 35.062935948|8.02     |6.10     |4.53     |3.32     |2.37     |K5.5III              | 132 |   0
863 |* tet CrB A                        |*  |15 32 55.783080 +31 21 32.91517        |     ~   |4.14     |4.30     |     ~   |     ~   |~                    |   2 |   0
864 |* bet01 Sgr                        |Pu*|19 22 38.2992119424 -44 27 32.250184884|3.52     |3.91     |4.01     |     ~   |     ~   |B9V                  |  79 |   0
865 |* 30 LMi                           |Pe*|10 25 54.8149486684 +33 47 46.029118764|     ~   |4.978    |4.718    |     ~   |     ~   |F0VmF3/4             | 153 |   0
866 |* gam CrA A                        |PM*|19 06 25.2146839530 -37 03 47.792348952|     ~   |5.07     |4.53     |     ~   |     ~   |F8V                  |  85 |   0
867 |* nu. Tau                          |*  |04 03 09.3791463041 +05 59 21.482527209|     ~   |3.924    |3.883    |     ~   |     ~   |A0.5Va               | 135 |   0
868 |* sig Boo                          |PM*|14 34 40.8173867232 +29 44 42.457673940|4.76     |4.84     |4.47     |4.13     |3.94     |F4VkF2mF1            | 620 |   0
869 |* d Sgr                            |*  |19 17 38.0791354800 -18 57 10.462484520|     ~   |5.895    |4.878    |     ~   |     ~   |G8II-III             |  85 |   0
870 |* g Aqr                            |V* |22 43 35.2332465969 -18 49 49.350293114|     ~   |6.06     |4.69     |     ~   |     ~   |K3III                |  58 |   0
871 |* 19 Pup                           |*  |08 11 16.3053046041 -12 55 37.195268423|6.44     |5.68     |4.72     |3.99     |3.51     |G8.5IIIb             |  94 |   0
872 |* 35 Ari                           |SB*|02 43 27.1142794560 +27 42 25.737873444|3.91     |4.54     |4.67     |4.69     |4.82     |B3V                  | 179 |   0
873 |* y Car                            |sg*|11 12 36.0132333384 -60 19 03.454684572|5.20     |5.17     |4.62     |4.07     |3.71     |A5Iae:               |  97 |   0
874 |* alf Hor                          |PM*|04 14 00.1142226166 -42 17 39.726755131|5.97     |4.96     |3.86     |3.00     |2.41     |K2III                | 148 |   0
875 |* e Cen                            |PM*|12 53 06.9063292060 -48 56 35.926377300|7.28     |5.70     |4.33     |3.35     |2.60     |K3/4III              |  55 |   0
876 |* l Per                            |PM*|03 21 26.5587601200 +43 19 46.743124584|     ~   |5.006    |4.946    |     ~   |     ~   |A3V                  |  78 |   0
877 |* psi07 Aur                        |PM*|06 50 45.9432814968 +41 46 52.429971900|     ~   |6.244    |4.975    |     ~   |     ~   |K3III                |  85 |   0
878 |* phi Cyg                          |SB*|19 39 22.6059124440 +30 09 11.957279256|     ~   |5.642    |4.673    |     ~   |     ~   |G8III-IV             | 146 |   0
879 |* lam Eri                          |Be*|05 09 08.7840557047 -08 45 14.701594805|3.17     |4.07     |4.27     |4.35     |4.55     |B2III(e)p            | 313 |   1
880 |* tau Dra                          |PM*|19 15 32.9853001560 +73 21 19.878315048|7.15     |5.70     |4.45     |3.55     |2.97     |K2+IIIbCN1           | 130 |   0
881 |* alf Sge                          |*  |19 40 05.7913315848 +18 00 50.006621484|5.59     |5.16     |4.38     |3.79     |3.40     |G1II                 | 209 |   0
882 |* nu. Pup                          |*  |06 37 45.6726263277 -43 11 45.368473041|2.65     |3.06     |3.17     |3.17     |3.24     |B8III                | 144 |   0
883 |* ksi UMa                          |RS*|11 18 10.931880 +31 31 45.44004        |4.42     |4.38     |3.79     |     ~   |     ~   |F8.5:V+G2V           | 280 |   0
884 |* mu. Cet                          |SB*|02 44 56.5373458591 +10 06 50.921738061|     ~   |4.57     |4.26     |     ~   |     ~   |A9IIIp               | 198 |   0
885 |* eps UMa                          |a2*|12 54 01.7495922 +55 57 35.362645      |1.76     |1.75     |1.77     |1.79     |1.82     |A1III-IVpkB9         | 481 |   0
886 |* alf Pyx                          |V* |08 43 35.5374303414 -33 11 10.979806079|2.65     |3.50     |3.68     |3.76     |3.93     |B1.5III              | 221 |   0
887 |HD 211073                          |** |22 13 52.7275081368 +39 42 53.728839720|7.32     |5.88     |4.49     |3.48     |2.74     |K2.5III              | 116 |   0
888 |* ups Sgr                          |Be*|19 21 43.6225957281 -15 57 18.062726294|4.18     |4.71     |4.61     |4.34     |4.21     |B2Vp_sh              | 307 |   0
889 |* 132 Tau                          |** |05 49 00.9709498512 +24 34 02.858704284|     ~   |5.897    |4.873    |     ~   |     ~   |G9III                | 126 |   0
890 |* ups01 Eri                        |PM*|04 33 30.5522530392 -29 45 59.370656652|6.20     |5.49     |4.51     |3.76     |3.22     |K0+IIIbFe-0.5        |  81 |   0
891 |* chi Cet                          |PM*|01 49 35.1027660619 -10 41 11.070999501|5.04     |5.00     |4.68     |4.38     |4.22     |F0V                  | 212 |   0
892 |* del UMa                          |PM*|12 15 25.5598467041 +57 01 57.421119850|3.460    |3.410    |3.320    |3.25     |3.25     |A2Vn                 | 307 |   0
893 |* del CMa                          |s*y|07 08 23.4840514 -26 23 35.518484      |3.06     |2.52     |1.84     |1.33     |1.00     |F8Ia                 | 344 |   0
894 |* psi02 Aur                        |PM*|06 39 19.8272357400 +42 29 19.955674680|7.36     |6.05     |4.82     |3.92     |3.31     |K2-III               |  92 |   0
895 |* gam Eri                          |LP?|03 58 01.7658213057 -13 30 30.653301544|6.52     |4.54     |2.94     |1.68     |0.68     |M0III-IIIb           | 196 |   0
896 |* v Cen                            |*  |14 20 19.5426743674 -56 23 11.383769043|4.04     |4.47     |4.35     |4.20     |4.06     |B5II                 |  89 |   0
897 |* i Aql                            |V* |19 01 40.8288708444 -05 44 20.722217278|6.15     |5.11     |4.02     |3.23     |2.69     |K1III                | 105 |   0
898 |* sig Per                          |V* |03 30 34.4853660216 +47 59 42.778854240|7.25     |5.71     |4.36     |     ~   |     ~   |K3-III               | 130 |   0
899 |HD 217382                          |PM*|22 54 24.9707515824 +84 20 46.231215936|     ~   |6.112    |4.684    |     ~   |     ~   |K4III                |  87 |   0
900 |* 32 Oph                           |PM*|17 03 07.8711020736 +14 05 31.013994084|8.51     |6.58     |4.98     |3.54     |2.33     |M3-III               |  92 |   0
901 |* eps Boo                          |PM*|14 44 59.2175581895 +27 04 27.200350832|     ~   |3.61     |2.45     |     ~   |     ~   |K0-II-III            | 165 |   0
902 |* 55 Cyg                           |s*b|20 48 56.2915921440 +46 06 50.883645024|4.83     |5.28     |4.86     |4.41     |4.10     |B2.5Ia               | 501 |   0
903 |* alf Crt                          |PM*|10 59 46.4651557828 -18 17 55.630394216|6.14     |5.16     |4.07     |3.27     |2.72     |K0IIIb               | 220 |   0
904 |* omi Peg                          |*  |22 41 45.4041684504 +29 18 27.631023336|4.77     |4.78     |4.79     |4.75     |4.77     |A1IV                 | 291 |   0
905 |* kap Per                          |PM*|03 09 29.8036400506 +44 51 26.849828627|5.62     |4.79     |3.81     |3.07     |2.57     |G9.5IIIb             | 243 |   0
906 |* gam02 Del                        |PM*|20 46 39.4998239664 +16 07 27.458234724|     ~   |5.26     |4.25     |4.1      |     ~   |K1IV                 | 189 |   0
907 |* rho Pup                          |dS*|08 07 32.6488235 -24 18 15.567946      |3.43     |3.24     |2.81     |2.46     |2.25     |F5IIkF2IImF5II       | 312 |   0
908 |* iot Cnc                          |PM*|08 46 41.8204364520 +28 45 35.615289744|     ~   |4.996    |4.018    |     ~   |     ~   |G8IIIaBa0.2          | 169 |   0
909 |* del Aql                          |** |19 25 29.90139 +03 06 53.2061          |3.72     |3.68     |3.36     |3.11     |2.95     |F1IV-V(n)            | 245 |   0
910 |* alf UMi                          |cC*|02 31 49.09456 +89 15 50.7923          |3.00     |2.62     |2.02     |1.53     |1.22     |F8Ib                 | 703 |   2
911 |* eta Sco                          |PM*|17 12 09.1940948534 -43 14 21.082311424|3.83     |3.74     |3.33     |2.97     |2.77     |F5IV                 | 156 |   0
912 |* 5 UMi                            |V* |14 27 31.5446728046 +75 41 45.579510037|     ~   |5.664    |4.235    |     ~   |     ~   |K4-III               |  97 |   0
913 |* eta Aur                          |PM*|05 06 30.8941413263 +41 14 04.112669983|2.33     |3.00     |3.18     |3.23     |3.40     |B3V                  | 386 |   0
914 |* tau UMa                          |SB*|09 10 55.0419835680 +63 30 49.216366332|     ~   |5.008    |4.640    |     ~   |     ~   |F6IIIn               | 233 |   1
915 |* rho Tau                          |dS*|04 33 50.9178322656 +14 50 39.941657592|4.98     |4.90     |4.65     |4.41     |4.29     |A8V                  | 233 |   0
916 |* bet Phe A                        |*  |01 06 05.095275 -46 43 06.59527        |     ~   |4.90     |4.00     |     ~   |     ~   |~                    |   2 |   0
917 |* p Cen                            |Pu*|12 50 41.1633885768 -33 59 57.652650456|     ~   |4.863    |4.894    |     ~   |     ~   |B9V                  |  54 |   0
918 |* 45 Eri                           |*  |04 31 52.6686292560 -00 02 38.439836664|     ~   |6.219    |4.896    |     ~   |     ~   |K0/1III              |  75 |   0
919 |* ome Lup                          |PM*|15 38 03.2069631593 -42 34 02.408479318|7.47     |5.75     |4.33     |3.30     |2.57     |K3III                |  64 |   0
920 |* kap Cep                          |*  |20 08 53.3487448872 +77 42 41.115549672|     ~   |4.35     |4.40     |     ~   |     ~   |B9III                | 144 |   0
921 |* omi Ori                          |S* |04 52 31.9624004856 +14 15 02.311506180|     ~   |6.458    |4.721    |     ~   |     ~   |M3SIII               | 221 |   0
