C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
92  |* eta Aqr                          |PM*|22 35 21.3813673792 -00 07 02.990663718|3.690    |3.950    |4.030    |4.06     |4.13     |B8/9V                | 163 |   0
93  |* 11 Ori                           |a2*|05 04 34.1491891634 +15 24 14.767720310|     ~   |4.609    |4.661    |     ~   |     ~   |A1VpSiCr             | 155 |   0
94  |* c Ori                            |Y*O|05 35 23.1646530684 -04 50 18.059784995|3.46     |4.40     |4.59     |4.67     |4.85     |B1V+?                | 228 |   0
95  |* zet Lup                          |PM*|15 12 17.0955222617 -52 05 57.295332603|4.99     |4.33     |3.41     |     ~   |     ~   |G8III                | 113 |   0
96  |* tet Per                          |PM*|02 44 11.9866154103 +49 13 42.414669174|4.62     |4.62     |4.11     |3.67     |3.37     |F8V                  | 415 |   0
97  |* rho Boo                          |PM*|14 31 49.7893292450 +30 22 17.171652275|6.33     |4.89     |3.59     |2.67     |2.02     |K3-III               | 265 |   0
98  |HD 172555                          |PM*|18 45 26.9009806435 -64 52 16.534807985|     ~   |4.967    |4.767    |     ~   |     ~   |A7V                  | 302 |   0
99  |* gam Lup B                        |PM*|15 35 08.378503 -41 10 00.36390        |     ~   |3.33     |3.51     |     ~   |     ~   |~                    |   6 |   0
100 |* 30 Cyg                           |V* |20 13 18.0538639656 +46 48 56.430951948|     ~   |4.911    |4.819    |     ~   |     ~   |A5IIIn               |  71 |   0
101 |* eps Tel                          |*  |18 11 13.7612300712 -45 57 15.882385536|     ~   |5.518    |4.508    |     ~   |     ~   |K0III                |  42 |   0
102 |HD 123569                          |PM*|14 09 54.8142372672 -53 26 20.204852820|     ~   |5.675    |4.736    |     ~   |     ~   |G9-III               |  46 |   0
103 |* kap UMa                          |** |09 03 37.52762 +47 09 23.4890          |     ~   |3.55     |3.55     |     ~   |     ~   |A1Vn                 | 174 |   0
104 |* 2 Sex                            |PM*|09 38 27.2885284367 +04 38 57.453963996|7.45     |6.00     |4.68     |3.62     |2.91     |K3III                | 117 |   0
105 |* nu. Sco A                        |SB*|16 11 59.7338468136 -19 27 38.486177604|     ~   |4.359    |4.349    |     ~   |     ~   |~                    |  14 |   0
106 |* d01 Pup                          |*  |07 39 27.3386401968 -38 18 28.884430663|3.99     |4.65     |4.84     |4.92     |5.08     |B3V                  | 103 |   0
107 |* tet01 Eri                        |PM*|02 58 15.6763576272 -40 18 16.839497196|     ~   |3.33     |3.18     |     ~   |     ~   |A3IV-V               |  56 |   0
108 |* phi Vir                          |RG*|14 28 12.1389021744 -02 13 40.649015856|     ~   |5.522    |4.840    |     ~   |     ~   |G2IV                 | 201 |   0
109 |* bet CVn                          |** |12 33 44.5442516547 +41 21 26.921352859|4.91     |4.86     |4.25     |3.73     |3.42     |G0V                  | 594 |   0
110 |HD 77912                           |Pe*|09 06 31.7678430456 +38 27 07.970169096|     ~   |5.567    |4.539    |     ~   |     ~   |G7IIa                | 165 |   0
111 |* del PsA                          |*  |22 55 56.9001952776 -32 32 22.646172516|     ~   |5.172    |4.208    |     ~   |     ~   |G8III                |  65 |   0
112 |* kap Cen                          |bC*|14 59 09.6849382 -42 06 15.106919      |2.15     |2.93     |3.11     |     ~   |     ~   |B2IV                 | 210 |   0
113 |* eps Ser                          |PM*|15 50 48.9652705631 +04 28 39.831495034|     ~   |3.844    |3.693    |     ~   |     ~   |kA2hA5mA7V           | 204 |   0
114 |HD 216446                          |PM*|22 47 29.0691534336 +83 09 13.783501260|     ~   |6.04     |4.78     |     ~   |     ~   |K3III                |  58 |   0
115 |* iot02 Sco                        |*  |17 50 11.1117941496 -40 05 25.554554736|5.26     |5.039    |4.803    |6.56     |     ~   |A2Ib                 |  59 |   0
116 |* 68 Oph                           |** |18 01 45.1974936313 +01 18 18.306278873|     ~   |4.453    |4.429    |     ~   |     ~   |A0.5Van              | 151 |   0
117 |* 64 Eri                           |dS*|04 59 55.7367907152 -12 32 14.700428412|     ~   |5.036    |4.770    |     ~   |     ~   |F0V                  |  91 |   0
118 |* tet02 Eri                        |PM*|02 58 16.4037194112 -40 18 16.906306500|     ~   |4.20     |4.11     |     ~   |     ~   |A1V                  |  34 |   0
119 |* 111 Her                          |PM*|18 47 01.2343128144 +18 10 53.457823992|4.56     |4.49     |4.36     |4.19     |4.13     |AVa+                 | 164 |   0
120 |* c02 Cen                          |*  |14 44 59.2016391888 -35 11 30.583305636|     ~   |4.927    |4.924    |     ~   |     ~   |A0IVnn               |  65 |   0
121 |* 42 Peg                           |PM*|22 41 27.7207176 +10 49 52.907917      |3.10     |3.33     |3.41     |3.43     |3.50     |B8.5IV               | 316 |   0
122 |* gam Ret                          |LP*|04 00 53.8076037821 -62 09 33.418260950|7.93     |6.12     |4.50     |2.84     |1.36     |M4III                |  70 |   0
123 |* gam Dor                          |gD*|04 16 01.5866224848 -51 29 11.932714356|     ~   |4.55     |4.20     |     ~   |     ~   |F1V                  | 328 |   0
124 |HD 57821                           |*  |07 22 13.5293333258 -19 00 59.764391990|4.53     |4.893    |4.950    |     ~   |     ~   |B5II/III             |  69 |   0
125 |* 31 Cyg                           |SB*|20 13 37.9082370480 +46 44 28.761618048|5.50     |5.08     |3.80     |2.83     |2.07     |K3Ib+B2IV-V          | 377 |   0
126 |* gam Cyg                          |V* |20 22 13.7018357 +40 15 24.044963      |3.44     |2.90     |2.23     |1.74     |1.40     |F8Ib                 | 598 |   0
127 |* gam Oph                          |PM*|17 47 53.5605898827 +02 42 26.204838837|3.83     |3.80     |3.75     |3.71     |3.71     |A1VnkA0mA0           | 398 |   0
128 |* 10 LMi                           |RS*|09 34 13.3818448296 +36 23 51.209023344|     ~   |5.47     |4.60     |     ~   |     ~   |G7.5IIIb             | 153 |   0
129 |* sig Pup                          |SB*|07 29 13.8326369825 -43 18 05.167418899|6.54     |4.77     |3.25     |2.04     |1.12     |K5III                | 137 |   0
130 |* alf Cam                          |s*b|04 54 03.0113886719 +66 20 33.633625509|3.47     |4.34     |4.29     |4.18     |4.18     |O9Ia                 | 670 |   1
131 |* kap Dra                          |Be*|12 33 28.9433168544 +69 47 17.659892220|3.18     |3.75     |3.89     |3.84     |3.92     |B6IIIe               | 387 |   0
